review_text,rating,monthly_spend
Great quality bottle the build is premium and durable,5,1600
Too expensive for what it is I found a cheaper deal elsewhere,2,700
Love the fast delivery and easy returns,5,1200
The price is fair and the value is worth it,4,900
Material feels premium finish is excellent,5,2100
Cost went up last year not sure it is worth it anymore,3,800
Quick support resolved my refund in a day,4,1100
Cheap alternatives exist but quality here lasted years,4,1500
Delivery was fast and the app is easy to use,5,1000
Way too costly cancelled my subscription,1,600
Solid build quality broke once but replaced free,4,1800
Good discount during the sale otherwise pricey,3,750
Convenient auto refill and quick delivery,5,1300
Premium materials excellent durable design,5,2400
Affordable and great value for the price,4,850
Support was slow but return was easy,3,950
The quality of the finish keeps me coming back,5,1900
Expensive but the build justifies the cost mostly,4,1400
Fast shipping convenient packaging,4,1050
Price hike made me look at competitors,2,720
Durable premium feel worth every rupee,5,2200
Value for money is decent could be cheaper,3,780
Easy checkout and quick delivery every time,5,1150
Broke in a month poor quality control,2,650
The deal I got made it affordable,4,820
Excellent build lasted three years so far,5,2000
Refund process was quick and painless,4,980
Costly compared to alternatives I may switch,2,690
Premium quality justifies the premium price,5,2300
Fast easy convenient what more do you need,5,1250
